,MODELO E MOTORIZAÇÃO ,10.000,20.000,30.000,40.000,50.000,60.000,70.000,80.000,90.000,100.000
,ARGO 1.0,"R$ 228,00","R$ 476,00","R$ 400,00","R$ 1.040,00","R$ 420,00","R$ 596,00","R$ 392,00","R$ 1.040,00","R$ 400,00","R$ 504,00"
,ARGO 1.3,"R$ 268,00","R$ 516,00","R$ 440,00","R$ 1.168,00","R$ 460,00","R$ 640,00","R$ 432,00","R$ 1.168,00","R$ 440,00","R$ 544,00"
,ARGO 1.8,"R$ 304,00","R$ 556,00","R$ 480,00","R$ 748,00","R$ 496,00","R$ 1.212,00","R$ 480,00","R$ 748,00","R$ 480,00","R$ 580,00"
,CRONOS 1.3,"R$ 268,00","R$ 516,00","R$ 440,00","R$ 1.168,00","R$ 460,00","R$ 640,00","R$ 432,00","R$ 1.168,00","R$ 440,00","R$ 544,00"
,CRONOS 1.8,"R$ 304,00","R$ 556,00","R$ 480,00","R$ 748,00","R$ 496,00","R$ 1.212,00","R$ 480,00","R$ 748,00","R$ 480,00","R$ 552,00"
,NOVO UNO 1.0,"R$ 200,00","R$ 452,00","R$ 772,00","R$ 616,00","R$ 420,00","R$ 1.448,00","R$ 384,00","R$ 616,00","R$ 772,00","R$ 480,00"
,NOVO UNO 1.4,"R$ 224,00","R$ 472,00","R$ 708,00","R$ 636,00","R$ 444,00","R$ 1.384,00","R$ 408,00","R$ 636,00","R$ 708,00","R$ 500,00"
,NOVO UNO FIREFLY 1.0,"R$ 228,00","R$ 456,00","R$ 412,00","R$ 888,00","R$ 420,00","R$ 672,00","R$ 392,00","R$ 888,00","R$ 412,00","R$ 484,00"
,NOVO UNO FIREFLY 1.3,"R$ 268,00","R$ 500,00","R$ 452,00","R$ 1.020,00","R$ 460,00","R$ 712,00","R$ 432,00","R$ 1.020,00","R$ 452,00","R$ 524,00"
,MOBI FIRE 1.0,"R$ 196,00","R$ 436,00","R$ 756,00","R$ 584,00","R$ 480,00","R$ 1.504,00","R$ 372,00","R$ 584,00","R$ 756,00","R$ 464,00"
,MOBI FIREFLY 1.0,"R$ 228,00","R$ 456,00","R$ 412,00","R$ 888,00","R$ 420,00","R$ 672,00","R$ 392,00","R$ 888,00","R$ 412,00","R$ 484,00"
,PALIO FIRE 1.0,"R$ 196,00","R$ 456,00","R$ 768,00","R$ 612,00","R$ 416,00","R$ 1.432,00","R$ 400,00","R$ 612,00","R$ 768,00","R$ 492,00"
,NOVO PALIO 1.0,"R$ 196,00","R$ 436,00","R$ 768,00","R$ 612,00","R$ 408,00","R$ 1.452,00","R$ 380,00","R$ 612,00","R$ 768,00","R$ 476,00"
,NOVO PALIO 1.4,"R$ 228,00","R$ 468,00","R$ 712,00","R$ 644,00","R$ 440,00","R$ 1.400,00","R$ 412,00","R$ 644,00","R$ 712,00","R$ 504,00"
